,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,8301,26,services,single,tertiary,no,12,no,no,cellular,15,dec,72,4,186,6,success,no
1,7480,36,admin.,divorced,tertiary,no,125,yes,no,unknown,26,may,172,1,-1,0,unknown,no
2,4612,36,technician,married,secondary,no,1368,no,no,cellular,1,jun,516,1,292,5,failure,yes
3,10326,37,technician,single,tertiary,no,178,yes,no,unknown,21,may,97,1,-1,0,unknown,no
4,10434,36,management,divorced,tertiary,no,0,no,no,unknown,20,jun,519,2,-1,0,unknown,no
5,1583,28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,-1,0,unknown,yes
6,4786,60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jul,346,1,181,4,success,yes
7,7146,47,entrepreneur,married,unknown,no,1481,yes,no,cellular,6,may,64,2,364,3,failure,no
8,8437,30,management,single,tertiary,no,3625,yes,no,unknown,23,may,469,2,-1,0,unknown,no
9,6381,58,management,married,tertiary,no,913,no,yes,cellular,8,jul,326,6,-1,0,unknown,no
10,3068,56,retired,married,secondary,no,1044,no,no,telephone,3,jul,353,2,-1,0,unknown,yes
11,7758,36,management,married,tertiary,no,0,yes,no,cellular,18,nov,103,1,175,2,failure,no
12,8347,43,management,married,tertiary,no,8016,yes,no,unknown,15,may,422,3,-1,0,unknown,no
13,10392,44,blue-collar,married,secondary,no,560,yes,no,unknown,15,may,80,1,-1,0,unknown,no
14,8652,52,management,married,tertiary,no,1065,yes,yes,unknown,30,may,159,1,-1,0,unknown,no
15,563,35,entrepreneur,married,secondary,no,2436,no,yes,cellular,14,jul,1397,3,-1,0,unknown,yes
16,5094,75,retired,married,primary,no,1765,no,no,telephone,14,sep,808,1,187,4,failure,yes
17,8119,55,blue-collar,married,primary,no,5109,no,no,unknown,19,jun,55,1,-1,0,unknown,no
18,2295,36,self-employed,married,secondary,no,188,yes,yes,cellular,4,may,1046,3,333,2,success,yes
19,3122,61,retired,married,secondary,no,569,no,no,cellular,4,aug,219,1,-1,0,unknown,yes
20,9961,25,technician,single,secondary,no,1105,yes,no,cellular,30,apr,195,1,13,1,failure,no
21,5906,31,technician,single,secondary,no,5,no,no,cellular,22,aug,121,2,-1,0,unknown,no
22,1040,61,management,married,secondary,no,985,no,no,cellular,18,aug,998,6,-1,0,unknown,yes
23,7315,35,technician,married,secondary,no,5553,yes,no,cellular,6,apr,371,3,136,7,failure,no
24,9527,51,admin.,married,secondary,no,884,no,no,unknown,19,jun,50,1,-1,0,unknown,no
25,2980,34,technician,married,secondary,no,294,yes,no,cellular,8,jun,301,3,-1,0,unknown,yes
26,8352,31,unknown,married,tertiary,no,526,no,no,cellular,26,aug,130,13,-1,0,unknown,no
27,8240,46,blue-collar,married,primary,no,476,yes,no,unknown,30,may,311,4,-1,0,unknown,no
28,9209,36,management,single,tertiary,no,171,no,no,unknown,17,jun,398,4,-1,0,unknown,no
29,8871,41,self-employed,married,secondary,no,3123,yes,no,cellular,19,nov,291,2,-1,0,unknown,no
30,4485,80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,yes
31,1820,38,blue-collar,single,tertiary,no,172,yes,no,cellular,1,apr,1176,1,-1,0,unknown,yes
32,527,27,unemployed,single,primary,no,9,no,yes,cellular,9,jul,919,2,-1,0,unknown,yes
33,2628,48,blue-collar,married,secondary,no,480,yes,no,cellular,15,may,830,1,352,2,failure,yes
34,1596,32,student,single,tertiary,no,1138,no,no,telephone,10,feb,402,3,-1,0,unknown,yes
35,3004,47,management,single,tertiary,no,372,no,no,cellular,15,jun,257,1,-1,0,unknown,yes
36,7456,39,management,married,tertiary,no,246,yes,no,cellular,25,may,217,1,306,8,failure,no
37,5952,32,services,married,secondary,no,61,yes,no,cellular,8,jul,529,5,-1,0,unknown,no
38,7799,34,technician,single,secondary,no,1974,no,no,cellular,26,aug,603,3,-1,0,unknown,no
39,9850,59,technician,married,secondary,no,283,no,no,cellular,25,aug,272,4,-1,0,unknown,no
40,7743,19,student,single,secondary,no,291,no,no,telephone,5,may,291,5,-1,0,unknown,no
41,8339,51,management,divorced,tertiary,no,119,no,no,cellular,17,nov,200,1,165,2,failure,no
42,8457,29,unemployed,single,secondary,no,323,no,no,cellular,29,jan,151,1,-1,0,unknown,no
43,3926,25,technician,married,tertiary,no,2551,no,no,cellular,28,dec,400,3,-1,0,unknown,yes
44,5328,57,management,married,tertiary,no,1963,no,yes,cellular,8,aug,178,3,-1,0,unknown,no
45,7815,51,management,married,tertiary,no,1392,no,no,cellular,7,jul,511,3,-1,0,unknown,no
46,9562,31,self-employed,married,tertiary,no,229,no,no,cellular,29,jan,184,1,-1,0,unknown,no
47,5274,75,retired,divorced,tertiary,no,3810,yes,no,cellular,16,nov,262,1,183,1,failure,yes
48,9942,38,blue-collar,married,primary,no,3289,no,no,unknown,9,jun,553,2,-1,0,unknown,no
49,2298,38,management,divorced,tertiary,no,6368,yes,no,cellular,4,may,922,4,-1,0,unknown,yes
50,8429,28,blue-collar,married,secondary,no,916,yes,no,unknown,28,may,206,1,-1,0,unknown,no
51,1383,59,unemployed,single,primary,no,7724,no,no,cellular,21,nov,373,3,-1,0,unknown,yes
52,9862,52,blue-collar,married,secondary,no,1374,yes,no,cellular,17,apr,267,2,322,1,failure,no
53,7730,32,management,married,secondary,no,350,yes,no,unknown,28,may,110,2,-1,0,unknown,no
54,949,41,management,married,tertiary,no,0,no,no,cellular,11,aug,1242,5,-1,0,unknown,yes
55,3169,26,management,single,tertiary,no,390,no,no,cellular,7,aug,325,1,-1,0,unknown,yes
56,10335,40,technician,divorced,secondary,no,6,no,no,cellular,27,aug,26,16,-1,0,unknown,no
57,3387,27,admin.,married,secondary,no,1596,no,no,cellular,1,sep,82,1,-1,0,unknown,yes
58,1208,37,management,married,secondary,no,5447,yes,yes,cellular,17,nov,1789,1,-1,0,unknown,yes
59,7152,44,blue-collar,married,primary,no,3753,yes,no,unknown,28,may,122,4,-1,0,unknown,no
60,4614,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,yes
61,9065,35,management,married,tertiary,no,949,yes,no,unknown,27,may,245,2,-1,0,unknown,no
62,2412,29,management,single,tertiary,no,3041,yes,no,cellular,8,may,606,3,-1,0,unknown,yes
63,1450,59,retired,single,secondary,no,2,no,no,telephone,2,feb,935,1,-1,0,unknown,yes
64,5166,47,self-employed,married,tertiary,no,1011,no,no,cellular,6,oct,808,1,-1,0,unknown,yes
65,2177,33,technician,married,tertiary,no,4401,no,no,cellular,30,apr,439,1,-1,0,unknown,yes
66,7018,37,management,married,tertiary,no,0,yes,no,unknown,12,may,346,4,-1,0,unknown,no
67,2677,28,admin.,single,secondary,no,352,yes,yes,cellular,18,may,431,1,-1,0,unknown,yes
68,5855,59,management,married,tertiary,no,96,no,yes,cellular,8,jul,55,1,-1,0,unknown,no
69,8803,42,management,married,tertiary,no,176,yes,no,cellular,23,jul,123,1,-1,0,unknown,no
70,2468,35,blue-collar,single,secondary,no,855,yes,no,cellular,12,may,549,1,300,1,success,yes
